1774655523.525098 server started (50238): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1774655523.525152 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Jan 19 22:00:10 PST 2026; root:xnu-11417.140.69.708.3~1/RELEASE_X86_64
1774655523.525172 using libevent 2.1.12-stable select
1774655523.525190 using utf8proc 2.11.3
1774655523.525203 using ncurses 6.5 20240427
1774655523.525856 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1774655523.525863 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1774655523.525884 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1774655523.525890 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1774655523.525896 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1774655523.525901 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1774655523.525906 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1774655523.525912 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1774655523.525917 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1774655523.525922 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1774655523.525928 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1774655523.525933 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1774655523.525938 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1774655523.525943 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1774655523.525949 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1774655523.525954 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1774655523.525960 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1774655523.525965 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1774655523.525970 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1774655523.525976 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1774655523.525981 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1774655523.525986 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1774655523.525991 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1774655523.525997 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1774655523.526002 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1774655523.526008 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1774655523.526013 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1774655523.526018 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1774655523.526024 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1774655523.526029 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1774655523.526034 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1774655523.526040 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1774655523.526045 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1774655523.526050 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1774655523.526056 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1774655523.526061 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1774655523.526066 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1774655523.526072 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1774655523.526077 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1774655523.526082 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1774655523.526088 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1774655523.526093 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1774655523.526098 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1774655523.526103 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1774655523.526109 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1774655523.526115 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1774655523.526120 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1774655523.526126 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1774655523.526131 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1774655523.526137 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1774655523.526142 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1774655523.526151 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1774655523.526157 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1774655523.526163 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1774655523.526168 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1774655523.526174 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1774655523.526179 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1774655523.526185 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1774655523.526208 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1774655523.526214 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1774655523.526219 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1774655523.526225 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1774655523.526230 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1774655523.526235 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1774655523.526241 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1774655523.526246 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1774655523.526252 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1774655523.526257 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1774655523.526263 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1774655523.526268 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1774655523.526274 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1774655523.526280 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1774655523.526285 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1774655523.526290 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1774655523.526296 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1774655523.526301 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1774655523.526307 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1774655523.526312 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1774655523.526317 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1774655523.526323 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1774655523.526328 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1774655523.526333 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1774655523.526339 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1774655523.526344 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1774655523.526349 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1774655523.526355 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1774655523.526360 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1774655523.526366 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1774655523.526371 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1774655523.526376 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1774655523.526382 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1774655523.526387 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1774655523.526393 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1774655523.526398 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1774655523.526404 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1774655523.526409 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1774655523.526415 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1774655523.526420 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1774655523.526426 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1774655523.526431 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1774655523.526436 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1774655523.526442 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1774655523.526447 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1774655523.526453 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1774655523.526458 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1774655523.526464 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1774655523.526469 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1774655523.526474 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1774655523.526480 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1774655523.526485 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1774655523.526491 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1774655523.526496 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1774655523.526502 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1774655523.526516 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1774655523.526522 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1774655523.526528 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1774655523.526533 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1774655523.526539 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1774655523.526544 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1774655523.526550 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1774655523.526555 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1774655523.526560 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1774655523.526566 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1774655523.526571 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1774655523.526577 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1774655523.526582 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1774655523.526588 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1774655523.526593 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1774655523.526599 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1774655523.526604 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1774655523.526609 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1774655523.526615 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1774655523.526620 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1774655523.526626 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1774655523.526631 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1774655523.526636 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1774655523.526642 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1774655523.526647 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1774655523.526653 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1774655523.526658 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1774655523.526664 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1774655523.526669 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1774655523.526674 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1774655523.526680 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1774655523.526685 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1774655523.526691 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1774655523.526696 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1774655523.526701 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1774655523.526707 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1774655523.526712 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1774655523.526717 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1774655523.526723 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1774655523.526728 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1774655523.526734 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1774655523.526739 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1774655523.526745 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1774655523.526750 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1774655523.526756 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1774655523.526761 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1774655523.526766 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1774655523.526772 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1774655523.526831 yylex_token: end at WS
1774655523.526839 yylex_token: bind
1774655523.526848 yylex_token: end at WS
1774655523.526854 yylex_token: -N
1774655523.526861 yylex_token: end at WS
1774655523.526866 yylex_token: Send the prefix key
1774655523.526872 yylex_token: end at WS
1774655523.526877 yylex_token: C-b
1774655523.526893 yylex_token: end at WS
1774655523.526898 yylex_token: send-prefix
1774655523.526913 cmd_parse_build_commands 0:0: bind
1774655523.526923 cmd_parse_build_commands 0:1: -N
1774655523.526929 cmd_parse_build_commands 0:2: Send the prefix key
1774655523.526934 cmd_parse_build_commands 0:3: C-b
1774655523.526940 cmd_parse_build_commands 0:4 0:0: send-prefix
1774655523.526956 cmd_parse_build_commands 0:0: send-prefix
1774655523.526979 args_parse: flags end at 1 of 1
1774655523.526991 cmd_parse_build_commands: send-prefix
1774655523.526998 args_parse_flags: next -N
1774655523.527004 args_parse_flag_argument: -N = Send the prefix key
1774655523.527009 args_parse_flags: next C-b
1774655523.527014 args_parse: flags end at 3 of 5
1774655523.527020 args_parse: 3 = C-b (type STRING)
1774655523.527031 args_parse: 4 = send-prefix (type COMMANDS)
1774655523.527050 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1774655523.527066 cmdq_get_command: [bind-key/0x7fea94f07300] group 6
1774655523.527072 cmdq_append <global>: [bind-key/0x7fea94f07300]
1774655523.527079 yylex_token: end at WS
1774655523.527084 yylex_token: bind
1774655523.527089 yylex_token: end at WS
1774655523.527095 yylex_token: -N
1774655523.527102 yylex_token: end at WS
1774655523.527107 yylex_token: Rotate through the panes
1774655523.527113 yylex_token: end at WS
1774655523.527118 yylex_token: C-o
1774655523.527124 yylex_token: end at WS
1774655523.527129 yylex_token: rotate-window
1774655523.527136 cmd_parse_build_commands 0:0: bind
1774655523.527142 cmd_parse_build_commands 0:1: -N
1774655523.527147 cmd_parse_build_commands 0:2: Rotate through the panes
1774655523.527152 cmd_parse_build_commands 0:3: C-o
1774655523.527158 cmd_parse_build_commands 0:4 0:0: rotate-window
1774655523.527166 cmd_parse_build_commands 0:0: rotate-window
1774655523.527173 args_parse: flags end at 1 of 1
1774655523.527180 cmd_parse_build_commands: rotate-window
1774655523.527185 args_parse_flags: next -N
1774655523.527191 args_parse_flag_argument: -N = Rotate through the panes
1774655523.527196 args_parse_flags: next C-o
1774655523.527201 args_parse: flags end at 3 of 5
1774655523.527207 args_parse: 3 = C-o (type STRING)
1774655523.527213 args_parse: 4 = rotate-window (type COMMANDS)
1774655523.527227 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1774655523.527235 cmdq_get_command: [bind-key/0x7fea94f07940] group 14
1774655523.527241 cmdq_append <global>: [bind-key/0x7fea94f07940]
1774655523.527247 yylex_token: end at WS
1774655523.527252 yylex_token: bind
1774655523.527257 yylex_token: end at WS
1774655523.527262 yylex_token: -N
1774655523.527269 yylex_token: end at WS
1774655523.527275 yylex_token: Suspend the current client
1774655523.527280 yylex_token: end at WS
1774655523.527285 yylex_token: C-z
1774655523.527291 yylex_token: end at WS
1774655523.527296 yylex_token: suspend-client
1774655523.527303 cmd_parse_build_commands 0:0: bind
1774655523.527308 cmd_parse_build_commands 0:1: -N
1774655523.527314 cmd_parse_build_commands 0:2: Suspend the current client
1774655523.527319 cmd_parse_build_commands 0:3: C-z
1774655523.527324 cmd_parse_build_commands 0:4 0:0: suspend-client
1774655523.527332 cmd_parse_build_commands 0:0: suspend-client
1774655523.527340 args_parse: flags end at 1 of 1
1774655523.527347 cmd_parse_build_commands: suspend-client
1774655523.527352 args_parse_flags: next -N
1774655523.527358 args_parse_flag_argument: -N = Suspend the current client
1774655523.527363 args_parse_flags: next C-z
1774655523.527368 args_parse: flags end at 3 of 5
1774655523.527374 args_parse: 3 = C-z (type STRING)
1774655523.527380 args_parse: 4 = suspend-client (type COMMANDS)
1774655523.527393 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1774655523.527402 cmdq_get_command: [bind-key/0x7fea94f07ae0] group 22
1774655523.527407 cmdq_append <global>: [bind-key/0x7fea94f07ae0]
1774655523.527413 yylex_token: end at WS
1774655523.527418 yylex_token: bind
1774655523.527423 yylex_token: end at WS
1774655523.527439 yylex_token: -N
1774655523.527446 yylex_token: end at WS
1774655523.527451 yylex_token: Select next layout
1774655523.527457 yylex_token: end at WS
1774655523.527462 yylex_token: Space
1774655523.527467 yylex_token: end at WS
1774655523.527472 yylex_token: next-layout
1774655523.527483 cmd_parse_build_commands 0:0: bind
1774655523.527489 cmd_parse_build_commands 0:1: -N
1774655523.527494 cmd_parse_build_commands 0:2: Select next layout
1774655523.527499 cmd_parse_build_commands 0:3: Space
1774655523.527505 cmd_parse_build_commands 0:4 0:0: next-layout
1774655523.527512 cmd_parse_build_commands 0:0: next-layout
1774655523.527519 args_parse: flags end at 1 of 1
1774655523.527526 cmd_parse_build_commands: next-layout
1774655523.527531 args_parse_flags: next -N
1774655523.527537 args_parse_flag_argument: -N = Select next layout
1774655523.527542 args_parse_flags: next Space
1774655523.527547 args_parse: flags end at 3 of 5
1774655523.527552 args_parse: 3 = Space (type STRING)
1774655523.527558 args_parse: 4 = next-layout (type COMMANDS)
1774655523.527571 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1774655523.527579 cmdq_get_command: [bind-key/0x7fea94f081a0] group 30
1774655523.527585 cmdq_append <global>: [bind-key/0x7fea94f081a0]
1774655523.527590 yylex_token: end at WS
1774655523.527596 yylex_token: bind
1774655523.527601 yylex_token: end at WS
1774655523.527606 yylex_token: -N
1774655523.527613 yylex_token: end at WS
1774655523.527618 yylex_token: Break pane to a new window
1774655523.527623 yylex_token: end at WS
1774655523.527628 yylex_token: !
1774655523.527634 yylex_token: end at WS
1774655523.527639 yylex_token: break-pane
1774655523.527646 cmd_parse_build_commands 0:0: bind
1774655523.527651 cmd_parse_build_commands 0:1: -N
1774655523.527656 cmd_parse_build_commands 0:2: Break pane to a new window
1774655523.527662 cmd_parse_build_commands 0:3: !
1774655523.527667 cmd_parse_build_commands 0:4 0:0: break-pane
1774655523.527674 cmd_parse_build_commands 0:0: break-pane
1774655523.527681 args_parse: flags end at 1 of 1
1774655523.527687 cmd_parse_build_commands: break-pane
1774655523.527693 args_parse_flags: next -N
1774655523.527698 args_parse_flag_argument: -N = Break pane to a new window
1774655523.527703 args_parse_flags: next !
1774655523.527709 args_parse: flags end at 3 of 5
1774655523.527714 args_parse: 3 = ! (type STRING)
1774655523.527720 args_parse: 4 = break-pane (type COMMANDS)
1774655523.527733 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1774655523.527741 cmdq_get_command: [bind-key/0x7fea94f08290] group 38
1774655523.527746 cmdq_append <global>: [bind-key/0x7fea94f08290]
1774655523.527752 yylex_token: end at WS
1774655523.527757 yylex_token: bind
1774655523.527763 yylex_token: end at WS
1774655523.527768 yylex_token: -N
1774655523.527775 yylex_token: end at WS
1774655523.527780 yylex_token: Split window vertically
1774655523.527786 yylex_token: end at WS
1774655523.527791 yylex_token: "
1774655523.527796 yylex_token: end at WS
1774655523.527801 yylex_token: split-window
1774655523.527808 cmd_parse_build_commands 0:0: bind
1774655523.527814 cmd_parse_build_commands 0:1: -N
1774655523.527819 cmd_parse_build_commands 0:2: Split window vertically
1774655523.527824 cmd_parse_build_commands 0:3: "
1774655523.527830 cmd_parse_build_commands 0:4 0:0: split-window
1774655523.527837 cmd_parse_build_commands 0:0: split-window
1774655523.527844 args_parse: flags end at 1 of 1
1774655523.527852 cmd_parse_build_commands: split-window
1774655523.527858 args_parse_flags: next -N
1774655523.527863 args_parse_flag_argument: -N = Split window vertically
1774655523.527869 args_parse_flags: next "
1774655523.527874 args_parse: flags end at 3 of 5
1774655523.527880 args_parse: 3 = " (type STRING)
1774655523.527886 args_parse: 4 = split-window (type COMMANDS)
1774655523.527899 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1774655523.527907 cmdq_get_command: [bind-key/0x7fea94f08910] group 46
1774655523.527922 cmdq_append <global>: [bind-key/0x7fea94f08910]
1774655523.527928 yylex_token: end at WS
1774655523.527934 yylex_token: bind
1774655523.527940 yylex_token: end at WS
1774655523.527945 yylex_token: -N
1774655523.527951 yylex_token: end at WS
1774655523.527956 yylex_token: List all paste buffers
1774655523.527962 yylex_token: end at WS
1774655523.527967 yylex_token: #
1774655523.527973 yylex_token: end at WS
1774655523.527978 yylex_token: list-buffers
1774655523.527984 cmd_parse_build_commands 0:0: bind
1774655523.527990 cmd_parse_build_commands 0:1: -N
1774655523.527995 cmd_parse_build_commands 0:2: List all paste buffers
1774655523.528000 cmd_parse_build_commands 0:3: #
1774655523.528005 cmd_parse_build_commands 0:4 0:0: list-buffers
1774655523.528013 cmd_parse_build_commands 0:0: list-buffers
1774655523.528020 args_parse: flags end at 1 of 1
1774655523.528027 cmd_parse_build_commands: list-buffers
1774655523.528033 args_parse_flags: next -N
1774655523.528039 args_parse_flag_argument: -N = List all paste buffers
1774655523.528044 args_parse_flags: next #
1774655523.528049 args_parse: flags end at 3 of 5
1774655523.528054 args_parse: 3 = # (type STRING)
1774655523.528061 args_parse: 4 = list-buffers (type COMMANDS)
1774655523.528074 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1774655523.528082 cmdq_get_command: [bind-key/0x7fea94f08ca0] group 54
1774655523.528088 cmdq_append <global>: [bind-key/0x7fea94f08ca0]
1774655523.528094 yylex_token: end at WS
1774655523.528099 yylex_token: bind
1774655523.528105 yylex_token: end at WS
1774655523.528110 yylex_token: -N
1774655523.528117 yylex_token: end at WS
1774655523.528122 yylex_token: Rename current session
1774655523.528127 yylex_token: end at WS
1774655523.528133 yylex_token: $
1774655523.528139 yylex_token: end at WS
1774655523.528144 yylex_token: command-prompt
1774655523.528153 yylex_token: end at WS
1774655523.528160 yylex_token: -I#S
1774655523.528166 yylex_token: end at WS
1774655523.528171 yylex_token: rename-session
1774655523.528177 yylex_token: end at WS
